Seed 1,Seed 2,Seed 1 Win Prob
1,1,0.5
1,2,0.545
1,3,0.634
1,4,0.705
1,5,0.825
1,6,0.706
1,7,0.857
1,8,0.791
1,9,0.905
1,10,0.875
1,11,0.556
1,12,1
1,13,1
1,14,0
1,15,0
1,16,0.993
2,1,0.455
2,2,0.5
2,3,0.609
2,4,0.5
2,5,0.286
2,6,0.722
2,7,0.7
2,8,0.4
2,9,0.667
2,10,0.635
2,11,0.842
2,12,1
2,13,0
2,14,0
2,15,0.932
2,16,0
3,1,0.366
3,2,0.391
3,3,0.5
3,4,0.625
3,5,0.5
3,6,0.581
3,7,0.611
3,8,1
3,9,1
3,10,0.692
3,11,0.661
3,12,0
3,13,0
3,14,0.851
3,15,0.667
3,16,0
4,1,0.295
4,2,0.5
4,3,0.375
4,4,0.5
4,5,0.561
4,6,0.333
4,7,0.333
4,8,0.333
4,9,0.5
4,10,1
4,11,0
4,12,0.705
4,13,0.791
4,14,0
4,15,0
4,16,0
5,1,0.175
5,2,0.714
5,3,0.5
5,4,0.439
5,5,0.5
5,6,1
5,7,0
5,8,0.25
5,9,0.25
5,10,1
5,11,0
5,12,0.667
5,13,0.842
5,14,0
5,15,0
5,16,0
6,1,0.294
6,2,0.278
6,3,0.419
6,4,0.667
6,5,0
6,6,0
6,7,0.667
6,8,0.25
6,9,0
6,10,0.6
6,11,0.625
6,12,0
6,13,0
6,14,0.875
6,15,0
6,16,0
7,1,0.143
7,2,0.3
7,3,0.389
7,4,0.667
7,5,0
7,6,0.333
7,7,0
7,8,0.5
7,9,0
7,10,0.602
7,11,0
7,12,0
7,13,0
7,14,1
7,15,0.4
7,16,0
8,1,0.209
8,2,0.6
8,3,0
8,4,0.667
8,5,0.75
8,6,0.75
8,7,0.5
8,8,0
8,9,0.512
8,10,0
8,11,1
8,12,0
8,13,1
8,14,0
8,15,1
8,16,0
9,1,0.095
9,2,0.333
9,3,0
9,4,0.5
9,5,0.75
9,6,0
9,7,0
9,8,0.488
9,9,0
9,10,1
9,11,0
9,12,0
9,13,1
9,14,0
9,15,0
9,16,1
10,1,0.125
10,2,0.365
10,3,0.308
10,4,0
10,5,0
10,6,0.4
10,7,0.398
10,8,0
10,9,0
10,10,0
10,11,0.5
10,12,0
10,13,0
10,14,1
10,15,1
10,16,0
11,1,0.444
11,2,0.158
11,3,0.339
11,4,0
11,5,0
11,6,0.375
11,7,1
11,8,0
11,9,1
11,10,0.5
11,11,0.5
11,12,0
11,13,0
11,14,1
11,15,0
11,16,0
12,1,0
12,2,0
12,3,0
12,4,0.295
12,5,0.333
12,6,0
12,7,0
12,8,1
12,9,0
12,10,0
12,11,0
12,12,0.5
12,13,0.75
12,14,0
12,15,0
12,16,0
13,1,0
13,2,0
13,3,0
13,4,0.209
13,5,0.158
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0.25
13,13,0.5
13,14,0
13,15,0
13,16,0
14,1,0
14,2,0
14,3,0.149
14,4,0
14,5,0
14,6,0.125
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,14,0.5
14,15,0
14,16,0
15,1,0
15,2,0.068
15,3,0.333
15,4,0
15,5,0
15,6,0
15,7,0.6
15,8,0
15,9,0
15,10,0
15,11,0
15,12,0
15,13,0
15,14,0
15,15,0
15,16,0
16,1,0.007
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,0.5